Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions (g/km)
BMW,Model B,Sedan,4.7,6,M5,Z,16.48,5.54,8.36,40.43,289.19
Honda,Model B,Truck,2.2,4,A8,X,7.15,11.87,15.64,38.15,123.86
BMW,Model A,Sedan,2.9,6,M6,X,14.87,14.7,16.69,41.43,246.41
Toyota,Model B,Sedan,1.3,4,A8,X,14.62,14.81,15.17,39.17,146.44
BMW,Model C,Sedan,5,6,A6,X,5.38,9.43,7.54,33.08,210.89
Ford,Model C,Sedan,4.8,6,M5,X,16.82,13.56,6.13,23.87,198.79
Honda,Model A,Truck,4.7,4,A8,Z,18.55,12.11,12.87,41.65,227.06
Toyota,Model C,Sedan,2.5,8,A8,X,9.01,9.51,5.74,40.22,271.49
Honda,Model C,Sedan,1.9,6,M5,X,17.19,10.3,13.75,29.19,370.86
Ford,Model A,Truck,4.2,8,M5,X,6.24,5.51,11.9,16.17,218.35
Ford,Model B,Compact,3.5,8,M6,X,14,14.31,13.62,34.16,394.34
Ford,Model B,SUV,1.9,4,A8,Z,12.28,7.87,12.67,16.52,327.71
BMW,Model B,Compact,4.4,4,A8,Z,13.19,8.91,10.5,42.79,253.44
BMW,Model A,Truck,6,4,A6,Z,18.89,11.39,7.61,43.85,293.21
Honda,Model C,SUV,4.7,6,M6,Z,18.07,7.67,8.97,20.68,130.67
Honda,Model B,Truck,4.7,4,A6,Z,16.78,6.8,11.82,35.29,353.36
Toyota,Model B,Truck,5.8,4,A8,X,9.11,10.94,13.47,17.77,274.71
Toyota,Model A,Sedan,2,6,A6,Z,18.68,4.27,15.13,36.89,395.82
Honda,Model B,SUV,3.8,6,A8,Z,6.46,11.93,14.97,25.42,290.93
BMW,Model A,Sedan,5.9,4,A8,Z,17.8,9.65,17.64,35.43,350.23
Ford,Model C,SUV,1.8,4,A6,X,9.92,10.66,8.72,26.19,339.93
Honda,Model A,Truck,4.5,4,A6,X,5.81,10.95,5.92,19.37,203.64
Toyota,Model A,Truck,3.9,4,M5,Z,15.04,9.8,9.49,27.18,177.88
BMW,Model A,Compact,3.9,8,M5,X,8.47,10.41,14.66,18.38,229.15
Honda,Model A,SUV,4.5,8,M5,X,8.65,11.52,10.7,32.31,240.17
Honda,Model C,Sedan,5.6,4,A8,Z,9.59,12.28,15.63,16.23,172.03
BMW,Model C,Compact,4.9,8,A6,X,5.96,12,12.14,30.82,368.38
Honda,Model B,Compact,1.3,6,M6,X,7.66,13.57,17.09,41.59,262.76
BMW,Model C,Compact,5.3,8,A8,X,5.08,6.08,17.32,40.14,393.53
Ford,Model C,Sedan,2.1,8,M6,Z,11.68,8.41,5.9,41.48,343.01
BMW,Model B,Compact,2.9,4,A6,Z,6.26,14.43,10.93,42.66,266.71
BMW,Model C,Sedan,3.3,8,A8,Z,15.24,8.36,12.93,18.14,384.11
BMW,Model A,Compact,3.4,8,M6,X,8.53,5.37,8.33,18.86,251.46
Honda,Model A,Sedan,3.2,8,M6,Z,19.15,9.78,10.29,31.71,366.13
Honda,Model B,Truck,5.7,8,M5,X,18.07,5.2,13.81,41.82,207.44
BMW,Model B,Truck,4.5,6,M5,X,9.34,6.23,7.95,44.23,213.59
Honda,Model B,Truck,4.2,4,M5,X,16.75,14.98,12.83,16.39,225.44
Toyota,Model A,Truck,1.2,4,A8,Z,17.05,9.95,14.07,25.67,263.99
Toyota,Model C,Truck,5.5,6,A6,Z,19.8,7.12,6.18,21.39,266.05
Honda,Model A,Compact,5.5,8,A6,Z,13.97,14.94,11.47,37.68,248.92
Honda,Model B,Compact,4.9,6,M5,Z,6.23,14.63,8.42,34.21,191.8
BMW,Model C,Compact,1,8,M5,X,14.7,8.85,14.42,18.6,378.16
Ford,Model C,Sedan,1.3,6,M5,Z,14.37,6.86,7.46,29.51,276.58
Honda,Model A,Sedan,2.1,4,M6,X,14.58,13.22,16.6,35.56,222.32
Toyota,Model B,Sedan,1.7,4,M5,Z,9.61,11.87,10.6,38.37,295.35
BMW,Model A,Sedan,3,4,M6,Z,17.9,11.56,7.57,15.6,330.39
Honda,Model C,Truck,5.6,8,A6,Z,19.39,13.82,10.69,41.71,388.22
Toyota,Model A,Truck,3.4,8,A8,X,8.27,11.58,10.31,32.08,249.86
Toyota,Model A,Truck,1.1,6,A8,X,6.32,7.12,10.58,39.36,133.63
Ford,Model B,SUV,2.4,6,A8,X,7.92,11.63,12.61,39.24,232.23
BMW,Model B,Compact,1.2,4,A8,X,17.31,7.36,11.78,20.7,243.69
BMW,Model C,Sedan,1.2,8,M6,X,15.15,12.35,6.95,18.31,369.1
Ford,Model A,Sedan,2.4,6,M6,Z,14.54,10.82,5.85,36.64,218.44
Ford,Model A,Truck,2.4,8,M5,X,11.03,4.85,14.48,19.69,386
BMW,Model A,Sedan,4.9,8,M6,X,13.67,9.64,12.28,40.5,245.54
BMW,Model C,Sedan,5.9,4,M5,X,9.62,7.78,9.67,36.79,392.13
Honda,Model C,Compact,2.9,4,M5,X,12.16,7.61,15.51,40.25,102.46
Honda,Model B,Truck,3.1,8,A8,Z,16.9,10.62,10.04,23.97,369.64
Ford,Model B,Compact,5.2,8,M6,X,19.72,7.55,15.35,24.5,379.34
Honda,Model B,SUV,2.3,8,M6,Z,18.99,12.55,8.97,35.14,388.31
Toyota,Model A,SUV,1.8,8,M5,Z,19.01,4.78,5.95,15.94,103.92
Honda,Model A,SUV,5.3,4,M5,Z,11.03,11.26,17.12,36.79,151.51
Honda,Model B,Truck,1.2,6,A6,X,12.03,12.9,10.13,40.07,296.13
Toyota,Model A,Sedan,4.1,4,A6,Z,15.58,11.4,15.31,27.45,107.64
Ford,Model B,Truck,3.8,6,M5,X,18.83,9.47,8.63,37.95,119.08
Toyota,Model C,Truck,2.7,8,A6,X,7.13,14.45,13.4,20.24,166.32
Honda,Model B,Sedan,2.6,6,A6,X,9.56,7.3,16.35,24.67,253.73
Ford,Model C,Compact,4.9,4,M5,X,7.09,4.21,5.54,44.23,263.77
Honda,Model A,SUV,1.4,4,M5,X,14.18,8.75,15.8,44.59,110.28
Toyota,Model B,Compact,2.2,8,M6,Z,9.59,4.36,12.43,30.38,151.11
Toyota,Model A,SUV,4.7,4,M5,Z,9.89,14.49,12.9,43.03,249.91
Honda,Model C,Truck,3.7,8,M5,X,6.06,6.31,11.8,30.68,278.18
BMW,Model C,SUV,1.6,4,A8,Z,10.25,12.68,16.37,23.75,144.52
BMW,Model C,Truck,5.4,4,M6,X,17.94,12.52,5.56,23.01,219.65
Toyota,Model A,Compact,3,8,M6,Z,8.5,6.4,8.39,42.89,371.32
Toyota,Model A,Truck,5.1,6,M6,Z,15.43,10.83,16.38,20.17,399.67
BMW,Model A,Compact,4.9,4,A8,Z,14.44,4.53,14.78,32.39,396.16
BMW,Model A,Sedan,4.1,6,M5,Z,17.95,9.32,5.23,31.67,364.5
Honda,Model C,Sedan,3.5,4,M6,Z,6.98,4.16,11.72,37.19,218.4
Honda,Model C,Sedan,5.9,4,M6,X,19.66,14.13,11.88,29.98,305.97
BMW,Model B,Truck,1.7,4,A6,X,13.74,14.74,10.21,23.17,224.98
Honda,Model B,Sedan,4.6,4,M6,Z,19.93,6.45,8.87,20.08,294.56
Honda,Model A,SUV,2,6,M5,X,18.67,6.29,13.86,33.62,192.83
Ford,Model C,Compact,2.7,6,M5,Z,8.32,12.29,7.7,36.57,281.86
Honda,Model C,Compact,2.5,4,A6,X,5.84,6.79,15.39,32.09,257.13
Toyota,Model C,SUV,5.7,4,M6,Z,8.83,13.85,15.44,37.15,107.34
Honda,Model B,Truck,5.8,6,M6,Z,12.91,10.31,10.4,19.25,337.21
Honda,Model B,Truck,1.9,8,M6,Z,7.57,7.86,8.69,41.47,103.57
BMW,Model C,Compact,1.1,8,A8,X,7.51,13.16,8.69,32.47,187.95
Toyota,Model C,Sedan,4.6,6,M6,X,11.94,9.43,11.27,18.81,101.78
Honda,Model C,Truck,3.1,4,M5,Z,5.5,14.03,14.35,28.86,212.86
Honda,Model B,Truck,1.4,4,M5,Z,6.83,14.21,9.67,40.34,118.95
Ford,Model C,SUV,4.4,8,A8,X,11.24,5.82,12.93,41.93,374.05
Honda,Model C,SUV,3.7,8,A8,X,5.95,4.03,9.97,22.94,224.7
Honda,Model A,Sedan,5.9,6,M6,X,10.95,14.82,8.96,36.34,237.85
Ford,Model A,Truck,2.1,8,A6,X,12.11,13.97,5.32,18,204.96
BMW,Model B,Truck,3,6,A8,X,11.77,4.61,5.05,16.01,288.25
Honda,Model C,SUV,3.7,8,A8,Z,18.04,13.16,7.95,31.81,335.32
Ford,Model C,Truck,5,8,M6,X,12.95,9.04,10.28,35.84,294.44
Toyota,Model A,Compact,3.7,8,M6,Z,12.02,6.85,16.07,38.87,324.46
BMW,Model B,SUV,4.1,4,A8,Z,11.16,13.67,15.38,25.21,371.79
Toyota,Model A,Sedan,2.1,4,A6,X,17.26,6.16,8.47,15.2,359.06
Toyota,Model A,SUV,5.2,4,A8,X,18.43,14.42,8.18,29.39,302.22
Ford,Model A,Truck,3.1,8,M6,Z,17.8,6.26,7.96,15.48,164.39
Honda,Model A,Sedan,1.7,6,M6,X,15.1,10.75,9.41,17.76,291.31
Ford,Model C,SUV,4.3,6,A8,Z,7.06,6.45,11.48,24.8,251.82
Ford,Model C,Compact,2.1,6,A6,X,9.15,10,10.7,28.12,315.17
Ford,Model A,Compact,1.5,6,A8,X,5.69,11.52,7.84,23.38,349.88
Ford,Model B,SUV,5.3,4,A8,X,18.96,6.09,6.7,32.46,322.82
BMW,Model B,Compact,3.3,4,M6,Z,14.91,9.73,5.16,16.66,353.97
Honda,Model B,Compact,4.7,8,A6,X,16.2,9.16,7,19.34,119.16
Toyota,Model B,Compact,2.5,8,M5,Z,9.67,4.78,14.17,35.86,109.49
Toyota,Model A,Sedan,4.9,6,A6,X,17.68,13,8.17,19.26,177.55
Honda,Model C,Compact,1.6,4,A8,Z,8.89,7.69,11.09,34.19,370.2
Toyota,Model B,Compact,2.8,6,A8,X,5.02,10.32,12.69,16.64,347.1
Honda,Model A,Compact,5.9,8,A8,Z,10.65,9.66,16.53,27.22,304.82
Toyota,Model B,Sedan,5,8,A6,Z,13.56,9.65,16.56,20.32,310.23
Ford,Model B,SUV,3.5,6,M6,Z,12.18,5.18,14.69,18.29,318
Toyota,Model A,Truck,2.7,8,A8,Z,17.93,8.66,5.46,32.01,382.78
Honda,Model C,Compact,5.4,6,A8,Z,6.58,8.98,12.48,42.85,349.66
Honda,Model C,SUV,3.7,4,A6,Z,13.31,12.07,15.23,16.64,287.02
Honda,Model A,Compact,4.8,6,M5,X,12.69,13.24,5.22,27.65,299.71
Honda,Model C,Sedan,4.8,4,M5,Z,9.22,9.99,12.15,36.23,164.12
Honda,Model A,SUV,1.1,4,M6,Z,17.33,4.95,16.15,28.88,297.2
BMW,Model A,Sedan,1.6,8,M6,Z,16.29,6.61,11.16,39.19,227.4
BMW,Model A,Compact,4.3,8,A8,X,15.99,5.81,5.05,20.39,145.89
Toyota,Model C,Compact,1.8,8,A6,X,18.14,5.37,5.14,43.79,341.92
Honda,Model A,Sedan,2.3,6,A8,X,15.84,8.02,10.42,26.55,253.07
Toyota,Model B,Truck,5.7,6,M6,Z,8.48,6.52,7.02,25.25,393.23
Honda,Model C,Sedan,3.8,8,A6,X,15.58,6.4,13.64,41.24,184.5
Honda,Model C,Compact,4.8,6,A6,X,9.62,4.6,14.21,31.92,244.2
BMW,Model C,Sedan,3.8,8,M6,Z,8.63,4.19,7.31,30.49,234.4
BMW,Model C,Truck,3.8,6,M5,Z,6.1,5.13,16.55,36.81,136.23
Ford,Model B,Sedan,1.5,4,M5,X,16.16,5.89,10.74,32.4,227.83
BMW,Model C,Truck,2.7,4,A6,Z,15.67,8.74,6.86,19.88,186.27
Ford,Model C,Truck,2.4,8,A8,Z,8.52,9.62,14.94,35.23,148.1
Ford,Model A,Sedan,3,6,M5,Z,16.24,5.55,15.27,19,184.65
Ford,Model C,Sedan,5,6,A8,Z,18.77,8.67,13.31,39.18,169.98
Ford,Model B,SUV,2.9,4,M5,X,6.62,7.76,16.1,44.69,320.22
Ford,Model B,Compact,3.3,4,M5,Z,8.49,6.02,14.59,26.32,109.23
Toyota,Model B,Truck,3,8,A8,X,16.25,4.08,16.47,28.34,285.24
BMW,Model B,SUV,1.5,4,M6,X,9.12,9.14,10.64,16.39,328.2
Ford,Model C,Sedan,3.2,8,M5,X,14.37,11.54,14.72,15.41,244.22
Honda,Model C,Compact,2,4,M5,X,6.22,6.49,18,42.64,379.47
BMW,Model B,SUV,1.9,4,A8,Z,11.78,5.45,14.42,18.86,312.36
BMW,Model B,Truck,1.5,6,M6,Z,16.09,13.76,6.48,28.37,324.38
Ford,Model C,SUV,2.8,4,M5,Z,15.3,7.03,11.74,39.46,159.08
Toyota,Model B,Truck,4.8,4,M5,X,17.23,6.46,12.64,41.68,333.19
Ford,Model A,Sedan,2.4,8,M6,X,18.16,13.43,7.26,30.58,349.63
Toyota,Model B,Compact,2.6,4,M5,X,16.6,12.99,17.52,31.95,208.38
Honda,Model B,Compact,4.2,8,M6,Z,15.07,8.93,7.28,35.09,164.01
BMW,Model A,Compact,2,4,M6,X,5.48,9.38,7.31,43.84,215.52
Honda,Model A,Sedan,5.5,4,A8,Z,13.02,6.4,16.9,33.08,321.88
Toyota,Model C,Truck,3.6,8,A6,Z,5.57,4.86,11.05,31.78,225.29
Toyota,Model C,Sedan,3.2,6,M6,Z,17.12,10.31,5.82,15.44,321
Honda,Model A,Compact,3.8,8,A8,Z,9.81,5.08,12.78,17.43,134.07
Toyota,Model A,Sedan,1.8,8,A6,X,13.44,8.94,12.82,32.32,341.8
Honda,Model C,Sedan,4.1,8,M5,Z,9.19,14.35,5.84,43.09,175.96
BMW,Model B,Sedan,2.8,6,A6,X,16.74,14.48,17.64,41,174.68
Honda,Model A,Truck,5.5,4,M6,Z,18.3,6.63,12.07,44.48,277.11
BMW,Model C,SUV,1.8,8,M6,X,10.98,10.87,12.28,30.84,121.04
Honda,Model B,SUV,3.5,8,M6,X,17.94,9.21,11.76,38.64,107.89
Toyota,Model A,Sedan,4,6,M6,Z,9.01,13.63,12.94,40.21,178.31
Honda,Model B,SUV,1.2,8,M6,Z,13.02,6.99,8.44,34.44,261.42
Toyota,Model C,SUV,2.8,4,A8,Z,17.88,4.04,8.73,25.16,372.28
Honda,Model A,Sedan,4.7,6,M6,X,9.89,5.79,11.65,29.1,353.93
Honda,Model B,Sedan,5.1,4,A8,Z,19.31,7.84,15.49,40.74,247.13
Ford,Model A,Compact,2.6,4,M5,Z,6.83,7.47,5.65,23.96,111.12
Toyota,Model B,SUV,5,6,M6,X,5.27,12.7,12.84,42.71,260.58
Ford,Model C,Truck,5.8,8,M6,Z,18.56,11.49,15.49,21.89,311.44
Toyota,Model C,Sedan,5.3,4,A6,X,6.03,7.3,7.04,37.49,201.75
Ford,Model A,Compact,1.6,4,M5,Z,19.88,9.04,5.2,33.92,133.32
BMW,Model B,Truck,4.7,4,M6,X,19.27,5.05,9.07,37.49,183.57
Honda,Model A,SUV,2.6,4,M6,X,7.06,13.88,12.65,28.12,331.48
Toyota,Model A,Compact,5.9,6,M5,Z,13.06,14.29,6.8,42.98,205.37
Toyota,Model B,Sedan,3.4,6,A8,X,7.77,14.78,10.54,33.97,343.59
Honda,Model B,Truck,1.6,4,M6,Z,11.42,13.55,12.18,23.65,195.86
Toyota,Model B,Sedan,4.6,8,A6,Z,5.92,5.91,12.79,34.15,149.07
Toyota,Model C,SUV,2.6,4,M6,X,8.36,4.51,8.57,23.6,230.75
Ford,Model A,Truck,6,8,A6,Z,10.45,10.38,10.2,23.81,235.68
Toyota,Model A,SUV,5.9,4,A6,X,11.58,14.04,15.12,26.99,104.83
BMW,Model C,SUV,4.3,8,M6,X,19.66,5.95,17.24,40.57,135.11
BMW,Model B,Compact,1.6,4,M6,X,17.12,4.08,16.2,30.01,155.48
Honda,Model C,Sedan,4.4,8,A6,X,16.06,12.86,12.34,35.37,134.08
Toyota,Model C,Truck,1.5,4,M5,X,13.06,4.84,10.33,26.76,202.46
Honda,Model C,SUV,1.1,4,M5,X,17.6,8.55,9.33,22.91,389.39
BMW,Model A,SUV,5.1,8,M6,X,10.09,11.47,6.62,43.64,252.77
Toyota,Model C,Truck,2,6,A8,X,15.63,6.6,6.39,33.11,288.27
Toyota,Model A,SUV,2.9,8,M5,Z,19.91,4.92,13.95,43.02,206.92
Honda,Model A,Compact,5.9,6,M6,Z,9.72,12.47,8.38,21.1,197.05
BMW,Model A,Compact,2.7,4,M5,X,15.11,10.93,8.31,19.41,106.94
Toyota,Model B,Compact,2.5,8,A8,Z,17.66,14.87,17.98,40.67,250.1
Honda,Model A,Compact,5.6,8,M6,Z,18.74,7.79,7.44,35.43,245.08
BMW,Model A,SUV,1.6,8,A8,Z,15.77,4.68,6.92,20.6,147.35
Honda,Model B,Truck,4.8,6,M6,Z,9.25,12.08,6.28,23.08,329.3
Ford,Model A,Truck,5.9,6,A8,Z,9.89,9.74,12.54,39.02,247.8
Toyota,Model C,Truck,5.5,4,M5,Z,5.31,6.35,13.16,28.62,201.7
Ford,Model C,Truck,4.3,6,M5,X,16.41,12.6,9.75,35.12,144.07
BMW,Model A,Sedan,2.6,6,A8,Z,5.64,6.24,11.96,24.55,265.65
Ford,Model B,Truck,2.3,4,A8,Z,17.97,6.87,15.25,26.44,325.85
Ford,Model C,Sedan,5.1,8,A8,Z,6.78,5.02,15.64,44.72,184.6
BMW,Model B,Sedan,5.4,8,M6,Z,7.58,8.39,17.45,22.43,165.64
Honda,Model B,Compact,3.6,4,M5,X,12.15,8.61,15.72,30.19,256.58
Ford,Model C,Sedan,2.2,8,M6,X,16.07,9.66,12.34,40.33,146.6
Honda,Model B,SUV,1.6,6,M5,X,7.09,11.8,7.34,22.18,299.98
Ford,Model C,Sedan,1.4,4,A6,X,11.6,13.97,6.3,27.46,281.6
Honda,Model B,Compact,4.6,4,M6,Z,12.24,5.52,5.71,33.45,126.12
BMW,Model C,Sedan,3.1,4,M5,X,8.18,4.6,13.66,29.44,110.96
Ford,Model A,SUV,5.5,8,M5,X,6.73,4.2,15.5,28.79,286.09
BMW,Model C,SUV,4.7,4,M6,X,17.55,5.58,11.61,25.88,188.29
Ford,Model C,SUV,2,4,M6,X,12.54,11.24,5.71,32.6,125.93
BMW,Model C,Compact,4.1,4,M5,Z,5.22,12,11.96,33.73,327.83
BMW,Model C,Compact,3.2,8,M6,X,17.04,12.65,17.16,34.6,194.21
Ford,Model B,Truck,3.9,6,A8,Z,19.71,6.68,12.77,17.11,237.88
Ford,Model A,Compact,4.7,4,M6,X,14.09,7.36,15.52,33.93,171.04
Ford,Model C,SUV,5,6,M6,Z,12.56,9.31,15.4,43.6,288.2
Toyota,Model B,SUV,5.2,8,M6,Z,18.18,4.7,17.12,31.23,190.45
Honda,Model A,Compact,2.3,8,M5,X,19.29,10.72,15.01,36.46,390.41
Toyota,Model A,Sedan,1.2,8,A8,X,16.32,14.82,14.72,31.7,310.88
Toyota,Model A,Compact,4.7,8,A6,X,11.68,7.97,8.04,40.64,141.02
BMW,Model A,Compact,1.5,6,A6,X,13.88,12.28,5.78,42.89,225.01
Ford,Model C,SUV,2.6,4,A8,Z,15.51,9.5,11.73,20.53,215.63
Honda,Model C,Truck,1,8,A8,Z,7.91,5.41,6.62,28.11,260.27
BMW,Model B,SUV,4.4,8,A8,X,11.71,10.4,17.51,26.77,352.58
Toyota,Model B,Truck,1.8,6,M5,X,17.45,7.3,8.77,27.16,275.03
Ford,Model B,SUV,4.3,6,A6,Z,14.82,4.38,16.09,18.77,118.47
BMW,Model A,Compact,6,8,A8,X,11.17,10.98,10.04,39.41,296.62
Ford,Model A,SUV,1.4,4,M5,Z,14.95,13.45,9.2,16.07,102.48
BMW,Model C,SUV,1.4,4,A6,X,6.77,7.79,17.16,30.85,333.99
Ford,Model A,SUV,2.7,8,M6,Z,11.02,8.29,9.72,34.86,299.99
Toyota,Model A,Compact,5.3,6,M5,Z,16.9,13.8,10.07,21.22,192.64
Honda,Model A,Compact,2.1,8,A6,Z,8.31,12.95,6.38,42.18,187.73
Toyota,Model B,Compact,2.8,8,M5,Z,7.79,11.86,13.72,40.16,339.48
Honda,Model B,Compact,1.3,6,A6,Z,19.26,6.74,8.75,29.13,335
Ford,Model C,Truck,4.8,8,A6,X,8.15,14.01,12.61,27.33,205.69
BMW,Model A,Truck,3,8,M6,Z,8.91,5.7,12.69,22.1,189.68
Toyota,Model A,Sedan,4.8,8,M5,X,19.54,10.89,14.35,36.9,267.95
Honda,Model C,Compact,5.5,6,A8,Z,16.02,4.32,14.69,18.95,102.51
Toyota,Model A,Truck,2.2,4,M6,Z,15.49,11.08,11.69,35.41,124.8
Honda,Model A,SUV,5,4,M6,X,17.79,7.05,9.3,40.27,137.85
Toyota,Model B,Compact,1.3,6,A6,X,6.74,8.95,15.89,21.85,155.62
Honda,Model C,Sedan,5.5,4,A8,X,15.59,7.8,9.03,40.99,253.61
Honda,Model C,Sedan,4.3,8,M5,X,12.56,5.9,11.6,16,397.67
Ford,Model C,Sedan,5.4,4,A8,Z,17.44,10.84,10.22,42.38,295.78
Honda,Model C,SUV,1,8,A8,X,12.62,13.7,16.12,18.55,118.39
Ford,Model B,Truck,1.8,4,A8,Z,14.3,14.55,10.61,34.37,257.67
Honda,Model B,SUV,2.9,6,A8,X,12.17,6.12,10.02,22.5,248.99
BMW,Model A,Compact,2.9,4,A8,X,12.17,11.89,13.97,40.1,143.25
BMW,Model A,Sedan,2.1,4,A6,Z,16.52,11.31,12.83,30.37,376.08
BMW,Model A,SUV,2.9,4,A6,Z,14.43,7.78,6.39,19.06,232.23
Honda,Model A,SUV,1.6,6,M6,X,14.5,4.21,11.61,32.13,398.37
Ford,Model B,Truck,3.1,4,A6,Z,11.75,11.59,14.56,27.24,226.02
Ford,Model C,Truck,5,6,M6,Z,12.97,14.4,17.9,34.84,282.39
Honda,Model B,Sedan,3.4,8,M6,Z,16.19,10.95,13.18,41.46,131.43
BMW,Model A,SUV,1.1,4,M5,Z,17.39,8.79,9.81,27.28,236.27
BMW,Model B,SUV,3.1,6,A8,Z,15.45,9.78,7.94,23.7,171.63
Ford,Model C,Truck,1.1,6,A6,Z,18.86,6.2,16.35,15.44,350.67
BMW,Model C,SUV,5.8,4,M5,Z,17.3,12.26,15.59,32.25,335.18
Toyota,Model B,SUV,1.6,8,A6,Z,13.43,12.21,8.04,27.07,347.25
Ford,Model B,SUV,4.5,6,M6,X,15.07,5.6,7.61,26.24,317.08
BMW,Model B,Truck,5.9,4,A6,Z,18.89,13.66,14.3,20.49,349.8
Ford,Model A,Sedan,5.1,8,A8,X,14.29,6.96,9.09,27.9,160.25
Toyota,Model B,Compact,4.5,6,M6,Z,17.37,14.8,8.98,44.53,235.61
Ford,Model B,Sedan,5.2,6,M6,Z,15.33,8.21,6.98,23.93,307.55
Ford,Model B,Compact,5.9,8,M5,Z,13.28,5.96,8.43,32.99,291.22
Ford,Model C,SUV,4.1,8,A8,Z,8.63,7.87,10.56,38.29,314.91
Ford,Model C,Sedan,3.8,4,M6,X,11.39,8.84,14.53,37.47,167.28
Toyota,Model A,Compact,4.1,4,A8,X,19.52,4.76,9.37,24.86,129.53
Honda,Model A,Truck,3.7,6,A6,Z,14.87,10.36,9.27,33.33,375.04
Ford,Model C,Truck,4.2,8,A8,X,13.47,10.57,8.7,41.14,268.05
Ford,Model C,Sedan,3.2,8,M6,Z,18.99,12.13,11.22,15.46,146.15
BMW,Model C,Sedan,2.1,8,M5,Z,13.8,4.32,7.35,28.07,338.03
Ford,Model B,SUV,1.6,6,M6,X,12.89,9.95,11.31,21.73,374.48
BMW,Model B,Sedan,1.3,8,A8,X,16.39,4.58,14.15,26.66,150.87
Honda,Model C,SUV,2.3,8,A8,Z,15.69,11.71,5.39,27.48,345.22
Toyota,Model B,SUV,1.2,6,M6,Z,7.9,4.61,5.13,37.4,379.97
Toyota,Model B,Truck,3.8,4,A8,X,12.07,14.03,5.98,17.81,381.51
Honda,Model A,Truck,2.4,4,A6,Z,12.09,11.72,11.96,30.38,374.25
Toyota,Model C,Compact,5.1,6,M6,X,10.67,9.58,16.11,31.93,263.93
Honda,Model C,Truck,1.4,8,M5,Z,12.76,8.86,5.06,29.82,206.86
Honda,Model B,Truck,2.1,6,M6,Z,11.2,5.44,17.18,36.96,102.18
Honda,Model C,Sedan,4.7,4,A6,X,7.99,7.2,6.38,26.51,118.27
Toyota,Model A,Truck,4,4,A6,X,11.19,13.56,15.95,43.35,228.65
BMW,Model A,Compact,1.3,6,A6,X,6.08,13.95,11.28,29.45,219.8
Honda,Model A,Sedan,5.4,6,A6,Z,13.64,4.01,13.57,32.14,155.41
Ford,Model C,Compact,5.4,4,A6,Z,17.8,10.54,11.64,39.77,218.64
Toyota,Model C,Truck,2.7,6,M5,Z,15.88,11.91,11.2,23.26,152.4
Honda,Model C,Compact,2.7,4,A8,Z,10.41,10.81,15.85,17.26,354.64
Honda,Model C,Sedan,5.9,6,A6,X,6.31,4.9,14.83,36.23,189.46
Ford,Model C,SUV,4.1,6,A6,Z,8.03,6.39,11.28,29.49,279.57
BMW,Model A,Compact,3.7,6,M6,Z,13.18,6.75,6.45,41.9,250.85
BMW,Model B,Compact,5.2,4,M5,Z,8.11,13.15,6.5,44.48,115.56
BMW,Model A,Sedan,2.4,6,M5,X,13.16,9.1,15.42,26.97,382.67
Honda,Model C,Sedan,3.1,4,A8,Z,8.47,9.36,11.88,27.46,258.17
Honda,Model A,Compact,2.3,4,M5,Z,17.73,14.28,11.26,27.24,197.52
Honda,Model C,Truck,4.9,6,M6,X,10.96,11.01,13.85,24.74,147.44
Toyota,Model C,Compact,3.9,6,M6,Z,8.68,13.89,16.16,38.45,201.56
Ford,Model A,Sedan,4.3,4,A8,Z,17.18,9.02,13.18,37.77,106.15
Honda,Model C,SUV,2.3,4,M6,X,10.14,5.64,14.92,29.36,209.07
Ford,Model B,SUV,2.1,8,A6,Z,6.67,14.23,14.95,16.34,259.45
Ford,Model C,Truck,3.4,4,A6,Z,13.56,9.05,9.63,24.29,361.56
BMW,Model B,Compact,4.7,8,M6,Z,13.72,6,8.56,23.77,306.21
Toyota,Model B,SUV,3.6,8,A8,X,15.72,7.33,15.42,39.33,133.47
Honda,Model C,Compact,1.2,8,M5,Z,8.6,4.56,9.9,17.63,144.32
BMW,Model A,Sedan,5.3,6,A8,Z,11.66,9.15,16.74,39.17,228.44
BMW,Model B,SUV,1.3,6,M5,X,9.24,13.38,5.91,35.08,158.71
Honda,Model A,Truck,5.8,4,M6,X,6.21,14.27,5.76,36.97,108.35
Ford,Model B,Sedan,1.1,8,M6,Z,18.15,14.26,17.05,27.97,341.5
BMW,Model C,Truck,4.5,6,A6,Z,15.93,5.38,13.43,35.39,105.86
Ford,Model C,Sedan,1.4,6,M5,Z,9.52,8.2,9.93,33.27,349.21
Toyota,Model B,SUV,5.6,6,A8,Z,13.99,4.31,14.82,38.07,143.23
Ford,Model C,Truck,3.3,6,M6,X,8.02,13.41,13.74,28.4,392.4
Toyota,Model B,Truck,1.7,6,A8,Z,18.35,7.95,11.91,29.18,281.16
Ford,Model C,Sedan,2.7,8,A6,X,6.72,10.94,6.29,34.31,320.49
BMW,Model A,Truck,1.8,8,M5,X,5.06,11.86,15.56,18.24,133.15
BMW,Model C,Sedan,1.9,8,M5,Z,12.53,8.73,16.26,28.09,358.63
Toyota,Model A,Sedan,5.7,8,M6,Z,13.75,7.37,7.24,44.16,351.76
